              component smsmass1 smsmass2 htbin njetbin mhtbin   xi   n nvar
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    400 0.85   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    400 1.05   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130    0   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130 0.05   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130  0.1   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130 0.15   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130  0.2   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130 0.25   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130  0.3   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130  0.5   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130  0.6   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130 0.65   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130 0.75   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130  0.8   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130 0.85   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130  0.9   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130 0.95   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    130  1.0   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    200  0.1   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    200 0.35   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    200 0.45   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    200 0.85   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       9    200 1.05   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130 0.45   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130  0.5   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130 0.55   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130  0.6   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130 0.65   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130  0.7   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    130 0.75   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200 0.05   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200  0.1   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200 0.15   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200  0.2   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200  0.7   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200 0.75   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    200  0.8   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400 0.05   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400  0.1   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400 0.15   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400 0.55   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400  0.6   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400  0.7   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400 0.75   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    400  0.8   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    800  0.1   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    800 0.55   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       2    800 0.75   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130    0  44   44
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130 0.05  32   32
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130  0.1  26   26
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130 0.15  17   17
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130  0.2  20   20
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130 0.25  16   16
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130  0.3  26   26
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130 0.35  19   19
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130  0.4  15   15
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130 0.45  13   13
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130  0.5   8    8
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130 0.55   6    6
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130  0.6   8    8
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130 0.65   5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130  0.7   4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130 0.75   4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130  0.8   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130 0.85   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130  0.9   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130 0.95   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130  1.0   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130 1.05   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    130  1.1   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200    0  49   49
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 0.05  35   35
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  0.1  27   27
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 0.15  21   21
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  0.2  19   19
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 0.25  22   22
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  0.3  29   29
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 0.35  16   16
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  0.4  20   20
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 0.45  10   10
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  0.5  21   21
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 0.55  28   28
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  0.6  22   22
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 0.65  21   21
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  0.7  25   25
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 0.75  24   24
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  0.8  20   20
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 0.85  25   25
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  0.9  16   16
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 0.95   9    9
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  1.0  12   12
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 1.05   6    6
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  1.1   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 1.15   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200  1.2   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    200 1.25   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400    0   4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 0.05   7    7
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  0.1   8    8
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 0.15   6    6
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  0.2   5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 0.25   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  0.3   7    7
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 0.35   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  0.4   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 0.45   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  0.5   5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 0.55   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  0.6   6    6
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 0.65   9    9
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  0.7   5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 0.75   6    6
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  0.8  10   10
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 0.85   8    8
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  0.9   4    4
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 0.95   6    6
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  1.0   5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 1.05   5    5
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  1.1   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 1.15   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400  1.2   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    400 1.25   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800    0   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   400       3    800 0.05   0    0
