                    component depth     class                                 name     pass    total
  QCD_HT700to1000_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    62630   240741
 QCD_HT1000to1500_madgraphMLM     1 LambdaStr          "ev : ev.cutflowId[0] == 1"  4938683  4978167
 QCD_HT1000to1500_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  4736111  4938683
 QCD_HT1000to1500_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  4736111  4736111
 QCD_HT1000to1500_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 200"  4736110  4736111
 QCD_HT1000to1500_madgraphMLM     1 LambdaStr            "ev : ev.nJet100[0] >= 1"  4736109  4736110
 QCD_HT1000to1500_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  4736109  4736109
 QCD_HT1000to1500_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  4359138  4736109
 QCD_HT1000to1500_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  4314595  4359138
 QCD_HT1000to1500_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  4175055  4314595
 QCD_HT1000to1500_madgraphMLM     1 LambdaStr         "ev : 130 <= ev.mht40_pt[0]"   182327  4175055
 QCD_HT1000to1500_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    68385   182327
 QCD_HT1500to2000_madgraphMLM     1 LambdaStr          "ev : ev.cutflowId[0] == 1"  3810751  3845502
 QCD_HT1500to2000_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  3655824  3810751
 QCD_HT1500to2000_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  3655824  3655824
 QCD_HT1500to2000_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 200"  3655824  3655824
 QCD_HT1500to2000_madgraphMLM     1 LambdaStr            "ev : ev.nJet100[0] >= 1"  3655824  3655824
 QCD_HT1500to2000_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  3655824  3655824
 QCD_HT1500to2000_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  3404116  3655824
 QCD_HT1500to2000_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  3400828  3404116
 QCD_HT1500to2000_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  3273690  3400828
 QCD_HT1500to2000_madgraphMLM     1 LambdaStr         "ev : 130 <= ev.mht40_pt[0]"   299085  3273690
 QCD_HT1500to2000_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   141854   299085
  QCD_HT2000toInf_madgraphMLM     1 LambdaStr          "ev : ev.cutflowId[0] == 1"  1940632  1959823
  QCD_HT2000toInf_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  1859744  1940632
  QCD_HT2000toInf_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  1859744  1859744
  QCD_HT2000toInf_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 200"  1859744  1859744
  QCD_HT2000toInf_madgraphMLM     1 LambdaStr            "ev : ev.nJet100[0] >= 1"  1859744  1859744
  QCD_HT2000toInf_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  1859744  1859744
  QCD_HT2000toInf_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  1745987  1859744
  QCD_HT2000toInf_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  1745902  1745987
  QCD_HT2000toInf_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  1662180  1745902
  QCD_HT2000toInf_madgraphMLM     1 LambdaStr         "ev : 130 <= ev.mht40_pt[0]"   264438  1662180
  QCD_HT2000toInf_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   149802   264438
